Order_ID,Date,Customer_ID,Customer_Segment,Region,Category,Product,Quantity,Unit_Price,Total_Sales,Discount_Percent,Discount_Amount,Final_Price,Payment_Method
ORD5072,2023-01-08,CUST1634,Regular,Semarang,Sports,Bicycle,2,111.83,223.66,0,0.0,223.66,E-Wallet
ORD4185,2023-01-08,CUST2088,Regular,Bandung,Electronics,Smartwatch,2,809.47,1618.94,0,0.0,1618.94,Bank Transfer
ORD1023,2023-01-08,CUST1677,Regular,Surabaya,Electronics,Camera,1,965.1,965.1,0,0.0,965.1,Credit Card
ORD4182,2023-01-08,CUST1569,Premium,Bandung,Electronics,Smartwatch,1,517.84,517.84,10,51.78,466.06,Debit Card
ORD2182,2023-01-08,CUST2238,VIP,Bandung,Books,Biography,3,30.8,92.4,15,13.86,78.54,E-Wallet
ORD5166,2023-01-09,CUST2015,Regular,Medan,Electronics,Smartphone,1,264.31,264.31,0,0.0,264.31,Debit Card
ORD3558,2023-01-09,CUST1700,VIP,Semarang,Sports,Running Shoes,1,741.73,741.73,15,111.26,630.47,Debit Card
ORD3793,2023-01-09,CUST2043,Regular,Surabaya,Home & Living,Blender,1,158.82,158.82,0,0.0,158.82,Bank Transfer
ORD2067,2023-01-09,CUST1041,Regular,Surabaya,Electronics,Smartwatch,1,587.2,587.2,0,0.0,587.2,Credit Card
ORD2323,2023-01-09,CUST1729,Regular,Semarang,Home & Living,Vacuum Cleaner,1,288.65,288.65,0,0.0,288.65,E-Wallet
ORD4427,2023-01-09,CUST2228,VIP,Semarang,Home & Living,Cookware Set,2,211.22,422.44,15,63.37,359.07,Bank Transfer
ORD1610,2023-01-10,CUST1366,Premium,Medan,Home & Living,Blender,1,104.0,104.0,5,5.2,98.8,Credit Card
ORD2293,2023-01-10,CUST1984,Premium,Bandung,Electronics,Headphones,3,1117.39,3352.17,0,0.0,3352.17,Credit Card
ORD2181,2023-01-10,CUST2070,Premium,Jakarta,Electronics,Tablet,1,1140.11,1140.11,0,0.0,1140.11,Credit Card
ORD3713,2023-01-10,CUST1912,Regular,Surabaya,Books,Magazine,1,21.91,21.91,0,0.0,21.91,E-Wallet
ORD4899,2023-01-10,CUST1262,Regular,Bandung,Sports,Yoga Mat,4,346.78,1387.12,0,0.0,1387.12,Debit Card
ORD1470,2023-01-10,CUST1626,Premium,Semarang,Books,Business Book,1,35.89,35.89,0,0.0,35.89,Credit Card
ORD4322,2023-01-11,CUST1098,Premium,Semarang,Home & Living,Lamp,3,204.97,614.91,0,0.0,614.91,E-Wallet
ORD4074,2023-01-11,CUST2349,Regular,Bandung,Electronics,Laptop,2,1350.37,2700.74,0,0.0,2700.74,E-Wallet
ORD2945,2023-01-11,CUST2208,Regular,Bandung,Sports,Running Shoes,2,287.67,575.34,0,0.0,575.34,Debit Card
ORD3530,2023-01-11,CUST1104,Regular,Jakarta,Clothing,Backpack,3,99.69,299.07,0,0.0,299.07,E-Wallet
ORD2964,2023-01-12,CUST2200,Regular,Jakarta,Home & Living,Coffee Maker,2,165.3,330.6,0,0.0,330.6,E-Wallet
ORD3866,2023-01-12,CUST1530,Regular,Bandung,Books,Magazine,2,27.18,54.36,0,0.0,54.36,Bank Transfer
ORD2385,2023-01-12,CUST1581,Premium,Bandung,Home & Living,Blender,1,152.98,152.98,10,15.3,137.68,Credit Card
ORD2291,2023-01-13,CUST2320,Regular,Jakarta,Sports,Yoga Mat,1,314.74,314.74,0,0.0,314.74,Credit Card
ORD1509,2023-01-13,CUST1693,Regular,Semarang,Sports,Sports Bottle,3,469.79,1409.37,0,0.0,1409.37,Cash
ORD3819,2023-01-13,CUST1071,Regular,Medan,Electronics,Smartwatch,1,363.47,363.47,0,0.0,363.47,E-Wallet
ORD1392,2023-01-13,CUST1531,VIP,Medan,Clothing,Backpack,1,16.53,16.53,20,3.31,13.22,Debit Card
ORD3669,2023-01-13,CUST2400,Regular,Surabaya,Home & Living,Bedding Set,1,30.72,30.72,0,0.0,30.72,Debit Card
ORD1618,2023-01-13,CUST1384,Regular,Bandung,Clothing,Dress,4,93.44,373.76,0,0.0,373.76,Bank Transfer
ORD1796,2023-01-13,CUST1200,VIP,Bandung,Home & Living,Bedding Set,6,130.05,780.3,20,156.06,624.24,Cash
ORD4000,2023-01-13,CUST1410,VIP,Jakarta,Sports,Running Shoes,3,240.83,722.49,15,108.37,614.12,Credit Card
ORD1500,2023-01-14,CUST2048,Regular,Makassar,Electronics,Laptop,3,1261.09,3783.27,0,0.0,3783.27,Bank Transfer
ORD2166,2023-01-14,CUST1809,Regular,Medan,Sports,Sports Bottle,4,585.77,2343.08,0,0.0,2343.08,Debit Card
ORD3178,2023-01-14,CUST1581,Premium,Medan,Clothing,Backpack,3,65.93,197.79,5,9.89,187.9,Credit Card
ORD4478,2023-01-14,CUST2219,Regular,Jakarta,Electronics,Laptop,2,132.45,264.9,0,0.0,264.9,Debit Card
ORD5290,2023-01-14,CUST1582,Regular,Jakarta,Books,Biography,2,48.64,97.28,0,0.0,97.28,E-Wallet
ORD4088,2023-01-14,CUST1717,Premium,Surabaya,Electronics,Smartwatch,2,760.78,1521.56,0,0.0,1521.56,Debit Card
ORD1995,2023-01-15,CUST2329,VIP,Makassar,Clothing,T-Shirt,1,125.16,125.16,10,12.52,112.64,Credit Card
ORD2348,2023-01-15,CUST2381,Premium,Medan,Clothing,Dress,9,141.07,1269.63,0,0.0,1269.63,E-Wallet
ORD4732,2023-01-16,CUST1526,Regular,Bandung,Clothing,Sneakers,2,17.25,34.5,0,0.0,34.5,E-Wallet
ORD4376,2023-01-16,CUST1437,Regular,Medan,Clothing,Jacket,3,37.21,111.63,0,0.0,111.63,Cash
ORD3428,2023-01-16,CUST2029,Regular,Jakarta,Home & Living,Blender,1,202.0,202.0,0,0.0,202.0,Debit Card
ORD3237,2023-01-16,CUST1370,Regular,Surabaya,Home & Living,Coffee Maker,1,128.43,128.43,0,0.0,128.43,Bank Transfer
ORD3408,2023-01-16,CUST2145,Regular,Medan,Electronics,Smartwatch,9,903.77,8133.93,0,0.0,8133.93,Debit Card
ORD3239,2023-01-16,CUST1150,Premium,Jakarta,Home & Living,Lamp,1,296.94,296.94,5,14.85,282.09,E-Wallet
ORD4685,2023-01-17,CUST1768,Regular,Medan,Home & Living,Cookware Set,2,61.62,123.24,0,0.0,123.24,E-Wallet
ORD1778,2023-01-17,CUST1174,Regular,Makassar,Clothing,Backpack,3,134.46,403.38,0,0.0,403.38,Cash
ORD1304,2023-01-17,CUST1676,Premium,Semarang,Home & Living,Lamp,3,282.06,846.18,5,42.31,803.87,Credit Card
ORD4950,2023-01-17,CUST1439,Regular,Bandung,Electronics,Smartphone,1,556.76,556.76,0,0.0,556.76,E-Wallet
ORD4329,2023-01-17,CUST2067,Premium,Makassar,Clothing,Jacket,3,137.34,412.02,0,0.0,412.02,Cash
ORD4077,2023-01-18,CUST2114,Regular,Medan,Clothing,Sneakers,1,124.56,124.56,0,0.0,124.56,Bank Transfer
ORD3218,2023-01-18,CUST1920,Regular,Bandung,Books,Self-Help Book,5,27.71,138.55,0,0.0,138.55,Credit Card
ORD4475,2023-01-18,CUST1294,Premium,Semarang,Home & Living,Coffee Maker,4,187.04,748.16,5,37.41,710.75,Credit Card
ORD3340,2023-01-18,CUST1873,Premium,Semarang,Sports,Bicycle,3,161.75,485.25,10,48.53,436.72,Debit Card
ORD4686,2023-01-18,CUST1475,Premium,Bandung,Sports,Sports Bottle,6,502.68,3016.08,10,301.61,2714.47,Credit Card
ORD3083,2023-01-18,CUST1175,Premium,Makassar,Home & Living,Cookware Set,5,118.15,590.75,5,29.54,561.21,Bank Transfer
ORD1311,2023-01-18,CUST2381,Regular,Bandung,Sports,Sports Bottle,1,234.3,234.3,0,0.0,234.3,Bank Transfer
ORD3187,2023-01-19,CUST1800,Regular,Jakarta,Electronics,Smartphone,3,1318.5,3955.5,0,0.0,3955.5,Credit Card
ORD2910,2023-01-20,CUST1083,Premium,Makassar,Sports,Running Shoes,1,403.94,403.94,5,20.2,383.74,E-Wallet
ORD2859,2023-01-20,CUST2377,Regular,Medan,Home & Living,Bedding Set,3,79.9,239.7,0,0.0,239.7,Credit Card
ORD3344,2023-01-20,CUST1677,Regular,Medan,Electronics,Laptop,6,1470.74,8824.44,0,0.0,8824.44,Credit Card
ORD1492,2023-01-20,CUST2034,Regular,Surabaya,Clothing,Jeans,1,113.17,113.17,0,0.0,113.17,Credit Card
ORD3503,2023-01-20,CUST1900,Regular,Semarang,Books,Biography,7,27.14,189.98,0,0.0,189.98,Debit Card
ORD3705,2023-01-21,CUST1759,Premium,Jakarta,Books,Self-Help Book,4,29.72,118.88,5,5.94,112.94,E-Wallet
ORD4379,2023-01-21,CUST1186,VIP,Surabaya,Clothing,Sneakers,3,73.74,221.22,20,44.24,176.98,E-Wallet
ORD4190,2023-01-21,CUST1316,Regular,Semarang,Clothing,Dress,1,41.19,41.19,0,0.0,41.19,Bank Transfer
ORD1428,2023-01-21,CUST1364,Regular,Semarang,Sports,Bicycle,1,20.53,20.53,0,0.0,20.53,Credit Card
ORD2832,2023-01-21,CUST1487,Premium,Bandung,Books,Biography,2,35.79,71.58,5,3.58,68.0,Debit Card
ORD2553,2023-01-21,CUST1802,VIP,Semarang,Electronics,Camera,5,1253.86,6269.3,10,626.93,5642.37,E-Wallet
ORD3378,2023-01-23,CUST2202,Regular,Jakarta,Sports,Yoga Mat,2,89.56,179.12,0,0.0,179.12,Bank Transfer
ORD4659,2023-01-23,CUST2251,Regular,Semarang,Electronics,Smartphone,5,686.95,3434.75,0,0.0,3434.75,Debit Card
ORD4982,2023-01-23,CUST1971,Premium,Bandung,Clothing,T-Shirt,1,50.46,50.46,5,2.52,47.94,Credit Card
ORD3382,2023-01-23,CUST1256,Premium,Bandung,Clothing,Jacket,5,137.37,686.85,5,34.34,652.51,Credit Card
ORD4646,2023-01-23,CUST1441,Premium,Bandung,Books,Biography,2,12.06,24.12,0,0.0,24.12,Credit Card
ORD1753,2023-01-24,CUST1567,Regular,Surabaya,Sports,Running Shoes,1,518.3,518.3,0,0.0,518.3,Credit Card
ORD3235,2023-01-24,CUST1244,Premium,Makassar,Books,Magazine,2,33.54,67.08,5,3.35,63.73,E-Wallet
ORD5247,2023-01-24,CUST2010,Regular,Bandung,Clothing,Jacket,1,143.61,143.61,0,0.0,143.61,Debit Card
ORD3309,2023-01-24,CUST1050,VIP,Makassar,Clothing,Backpack,1,92.92,92.92,20,18.58,74.34,Debit Card
ORD4526,2023-01-24,CUST1286,Regular,Surabaya,Clothing,Sneakers,8,27.72,221.76,0,0.0,221.76,Bank Transfer
ORD3203,2023-01-24,CUST1063,Regular,Makassar,Sports,Bicycle,1,140.9,140.9,0,0.0,140.9,E-Wallet
ORD3000,2023-01-25,CUST1797,Regular,Jakarta,Sports,Dumbbells,1,523.47,523.47,0,0.0,523.47,Bank Transfer
ORD3863,2023-01-25,CUST1061,Regular,Surabaya,Electronics,Laptop,2,235.29,470.58,0,0.0,470.58,Debit Card
ORD4245,2023-01-25,CUST1362,Premium,Medan,Books,Business Book,1,22.0,22.0,10,2.2,19.8,Credit Card
ORD2325,2023-01-25,CUST1949,Regular,Jakarta,Sports,Bicycle,1,392.02,392.02,0,0.0,392.02,Credit Card
ORD2551,2023-01-25,CUST1774,Regular,Surabaya,Clothing,Backpack,2,119.28,238.56,0,0.0,238.56,E-Wallet
ORD2898,2023-01-26,CUST1303,Regular,Medan,Electronics,Camera,1,983.78,983.78,0,0.0,983.78,Debit Card
ORD1870,2023-01-26,CUST2246,Regular,Medan,Books,Biography,1,43.64,43.64,0,0.0,43.64,Debit Card
ORD2828,2023-01-26,CUST1294,Regular,Semarang,Books,Fiction Novel,4,43.74,174.96,0,0.0,174.96,E-Wallet
ORD4974,2023-01-26,CUST1255,Premium,Jakarta,Home & Living,Bedding Set,1,280.94,280.94,10,28.09,252.85,Bank Transfer
ORD5033,2023-01-26,CUST2217,Premium,Jakarta,Home & Living,Lamp,10,162.41,1624.1,5,81.2,1542.9,E-Wallet
ORD3822,2023-01-26,CUST1230,Premium,Makassar,Home & Living,Vacuum Cleaner,3,264.29,792.87,10,79.29,713.58,Debit Card
ORD1140,2023-01-26,CUST1951,Regular,Semarang,Sports,Tennis Racket,7,275.84,1930.88,0,0.0,1930.88,Credit Card
ORD3569,2023-01-26,CUST1948,Premium,Makassar,Sports,Bicycle,6,641.37,3848.22,0,0.0,3848.22,Bank Transfer
ORD4801,2023-01-26,CUST1851,Regular,Bandung,Sports,Dumbbells,6,779.96,4679.76,0,0.0,4679.76,Cash
ORD2729,2023-01-27,CUST1096,Premium,Jakarta,Home & Living,Coffee Maker,2,269.43,538.86,0,0.0,538.86,Bank Transfer
ORD4093,2023-01-27,CUST1135,Premium,Medan,Books,Magazine,4,48.35,193.4,0,0.0,193.4,Debit Card
ORD2230,2023-01-27,CUST1834,Regular,Jakarta,Sports,Dumbbells,5,80.47,402.35,0,0.0,402.35,E-Wallet
ORD1476,2023-01-27,CUST2195,Regular,Medan,Books,Cookbook,1,20.38,20.38,0,0.0,20.38,E-Wallet
ORD2529,2023-01-27,CUST1259,Regular,Semarang,Home & Living,Blender,2,102.51,205.02,0,0.0,205.02,Debit Card
ORD2124,2023-01-28,CUST2351,Regular,Medan,Clothing,Jeans,3,24.38,73.14,0,0.0,73.14,Credit Card
ORD5000,2023-01-28,CUST2423,VIP,Surabaya,Clothing,Backpack,2,46.61,93.22,10,9.32,83.9,Debit Card
ORD2620,2023-01-28,CUST1004,Regular,Surabaya,Clothing,Sneakers,2,39.05,78.1,0,0.0,78.1,Debit Card
ORD1920,2023-01-28,CUST2355,VIP,Bandung,Home & Living,Bedding Set,5,51.77,258.85,15,38.83,220.02,Debit Card
ORD5160,2023-01-28,CUST1499,Regular,Medan,Sports,Tennis Racket,2,470.5,941.0,0,0.0,941.0,Credit Card
ORD3679,2023-01-28,CUST1083,Premium,Surabaya,Sports,Running Shoes,2,95.73,191.46,0,0.0,191.46,E-Wallet
ORD4629,2023-01-28,CUST2216,Regular,Semarang,Clothing,Jacket,2,66.75,133.5,0,0.0,133.5,E-Wallet
ORD1789,2023-01-28,CUST1517,Regular,Semarang,Home & Living,Bedding Set,6,47.69,286.14,0,0.0,286.14,E-Wallet
ORD3334,2023-01-28,CUST1185,Regular,Medan,Books,Biography,1,19.19,19.19,0,0.0,19.19,E-Wallet
ORD4159,2023-01-29,CUST1071,Regular,Bandung,Books,Fiction Novel,1,18.29,18.29,0,0.0,18.29,Debit Card
ORD2970,2023-01-29,CUST1461,Regular,Bandung,Clothing,Backpack,1,113.08,113.08,0,0.0,113.08,E-Wallet
ORD3897,2023-01-29,CUST1266,Regular,Semarang,Sports,Sports Bottle,1,419.35,419.35,0,0.0,419.35,Bank Transfer
ORD3639,2023-01-29,CUST1289,Regular,Makassar,Electronics,Headphones,3,1197.63,3592.89,0,0.0,3592.89,E-Wallet
ORD4671,2023-01-29,CUST1544,Regular,Medan,Clothing,Dress,1,67.55,67.55,0,0.0,67.55,Credit Card
ORD2768,2023-01-30,CUST1510,Regular,Makassar,Books,Cookbook,1,24.34,24.34,0,0.0,24.34,Cash
ORD5275,2023-01-30,CUST2318,Regular,Jakarta,Electronics,Smartphone,2,1489.09,2978.18,0,0.0,2978.18,Cash
ORD2915,2023-01-30,CUST1379,Regular,Makassar,Books,Biography,3,48.71,146.13,0,0.0,146.13,Debit Card
ORD1636,2023-01-30,CUST2108,Premium,Bandung,Electronics,Camera,2,567.42,1134.84,5,56.74,1078.1,Cash
ORD1423,2023-01-31,CUST1477,Regular,Medan,Home & Living,Coffee Maker,2,247.38,494.76,0,0.0,494.76,E-Wallet
ORD1708,2023-01-31,CUST2305,Regular,Bandung,Home & Living,Bedding Set,1,289.33,289.33,0,0.0,289.33,Bank Transfer
ORD3886,2023-01-31,CUST1491,Premium,Bandung,Electronics,Camera,2,632.1,1264.2,10,126.42,1137.78,Debit Card
ORD3145,2023-01-31,CUST1661,Premium,Makassar,Electronics,Laptop,4,1181.07,4724.28,10,472.43,4251.85,Credit Card
ORD4156,2023-01-31,CUST1378,VIP,Bandung,Electronics,Camera,6,1256.89,7541.34,10,754.13,6787.21,E-Wallet
ORD3930,2023-01-31,CUST1362,VIP,Semarang,Home & Living,Lamp,2,277.59,555.18,20,111.04,444.14,E-Wallet
ORD2118,2023-01-31,CUST2024,Regular,Surabaya,Home & Living,Blender,1,183.81,183.81,0,0.0,183.81,E-Wallet
ORD4341,2023-02-01,CUST1713,Premium,Makassar,Home & Living,Coffee Maker,2,187.48,374.96,5,18.75,356.21,Debit Card
ORD3254,2023-02-01,CUST1768,Regular,Semarang,Electronics,Smartphone,5,455.42,2277.1,0,0.0,2277.1,E-Wallet
ORD4081,2023-02-01,CUST1535,Premium,Medan,Sports,Bicycle,5,794.79,3973.95,0,0.0,3973.95,E-Wallet
ORD5270,2023-02-01,CUST1046,Premium,Semarang,Clothing,Dress,3,25.28,75.84,5,3.79,72.05,E-Wallet
ORD3608,2023-02-01,CUST1297,Premium,Semarang,Sports,Sports Bottle,3,585.56,1756.68,0,0.0,1756.68,Credit Card
ORD1236,2023-02-01,CUST2403,VIP,Makassar,Books,Magazine,1,31.82,31.82,15,4.77,27.05,Credit Card
ORD4003,2023-02-02,CUST1093,Premium,Bandung,Books,Magazine,2,18.34,36.68,0,0.0,36.68,E-Wallet
ORD4616,2023-02-02,CUST1386,Premium,Surabaya,Sports,Sports Bottle,2,496.8,993.6,5,49.68,943.92,Debit Card
ORD2374,2023-02-02,CUST1325,VIP,Medan,Electronics,Tablet,1,1490.92,1490.92,20,298.18,1192.74,Debit Card
ORD1220,2023-02-03,CUST2176,Regular,Bandung,Sports,Dumbbells,3,549.67,1649.01,0,0.0,1649.01,E-Wallet
ORD1730,2023-02-03,CUST1366,Regular,Jakarta,Sports,Tennis Racket,1,252.78,252.78,0,0.0,252.78,Debit Card
ORD5148,2023-02-03,CUST2279,Premium,Surabaya,Electronics,Laptop,3,1485.15,4455.45,5,222.77,4232.68,Debit Card
ORD4862,2023-02-03,CUST1698,Regular,Semarang,Books,Cookbook,1,20.15,20.15,0,0.0,20.15,Debit Card
ORD3614,2023-02-03,CUST2206,Premium,Bandung,Electronics,Smartwatch,1,404.18,404.18,5,20.21,383.97,Credit Card
ORD1434,2023-02-03,CUST2017,Regular,Semarang,Clothing,Sneakers,1,57.96,57.96,0,0.0,57.96,E-Wallet
ORD4013,2023-02-03,CUST1625,Regular,Jakarta,Sports,Dumbbells,1,392.03,392.03,0,0.0,392.03,Debit Card
ORD5052,2023-02-03,CUST1264,Regular,Makassar,Sports,Yoga Mat,4,502.39,2009.56,0,0.0,2009.56,Credit Card
ORD5104,2023-02-04,CUST1086,Regular,Bandung,Sports,Dumbbells,1,574.08,574.08,0,0.0,574.08,E-Wallet
ORD2081,2023-02-04,CUST1906,Regular,Makassar,Books,Cookbook,1,45.6,45.6,0,0.0,45.6,Credit Card
ORD3961,2023-02-04,CUST1427,Premium,Semarang,Clothing,Dress,1,93.42,93.42,5,4.67,88.75,E-Wallet
ORD3243,2023-02-04,CUST2226,Premium,Makassar,Sports,Sports Bottle,10,589.12,5891.2,5,294.56,5596.64,Cash
ORD3816,2023-02-05,CUST1278,Regular,Surabaya,Electronics,Headphones,2,536.07,1072.14,0,0.0,1072.14,Bank Transfer
ORD3133,2023-02-05,CUST1434,Regular,Medan,Sports,Dumbbells,2,553.86,1107.72,0,0.0,1107.72,E-Wallet
ORD3582,2023-02-05,CUST2048,Regular,Jakarta,Books,Self-Help Book,2,13.67,27.34,0,0.0,27.34,Debit Card
ORD2170,2023-02-05,CUST2240,Premium,Jakarta,Home & Living,Cookware Set,2,219.3,438.6,10,43.86,394.74,Credit Card
ORD3478,2023-02-06,CUST1455,Premium,Bandung,Home & Living,Vacuum Cleaner,1,37.49,37.49,10,3.75,33.74,E-Wallet
ORD1045,2023-02-06,CUST1082,Regular,Medan,Home & Living,Lamp,3,176.94,530.82,0,0.0,530.82,Debit Card
ORD2550,2023-02-06,CUST1618,Premium,Medan,Electronics,Headphones,7,198.66,1390.62,0,0.0,1390.62,Credit Card
ORD2486,2023-02-06,CUST1070,VIP,Medan,Clothing,Backpack,2,74.44,148.88,10,14.89,133.99,Debit Card
ORD3573,2023-02-07,CUST1634,Regular,Makassar,Electronics,Smartphone,2,751.58,1503.16,0,0.0,1503.16,Credit Card
ORD4486,2023-02-07,CUST2256,Premium,Surabaya,Home & Living,Cookware Set,1,175.83,175.83,10,17.58,158.25,Credit Card
ORD2497,2023-02-07,CUST1163,Regular,Semarang,Home & Living,Bedding Set,2,200.38,400.76,0,0.0,400.76,Credit Card
ORD1817,2023-02-07,CUST2340,Regular,Makassar,Home & Living,Coffee Maker,2,117.87,235.74,0,0.0,235.74,Credit Card
ORD3831,2023-02-07,CUST2100,Regular,Makassar,Clothing,T-Shirt,3,29.35,88.05,0,0.0,88.05,Cash
ORD3004,2023-02-07,CUST1190,Regular,Surabaya,Books,Cookbook,1,11.92,11.92,0,0.0,11.92,Bank Transfer
